epoch,accuracy,loss,val_accuracy,val_loss
0,0.028368793427944183,3.7608022689819336,0.03305784985423088,3.687734603881836
1,0.03989361599087715,3.6338236331939697,0.09917355328798294,3.448521614074707
2,0.14716312289237976,3.2407448291778564,0.26859503984451294,2.866286277770996
3,0.2606382966041565,2.8682737350463867,0.40082645416259766,2.441842794418335
4,0.332446813583374,2.519368886947632,0.4793388545513153,2.0357019901275635
5,0.4033688008785248,2.1738204956054688,0.5165289044380188,1.7257885932922363
6,0.44592198729515076,1.989275574684143,0.5950413346290588,1.5102561712265015
7,0.5372340679168701,1.690158486366272,0.6239669322967529,1.362533450126648
8,0.5895389914512634,1.4992810487747192,0.6776859760284424,1.1822572946548462
9,0.582446813583374,1.4696197509765625,0.6487603187561035,1.1655479669570923
10,0.6347517967224121,1.3032193183898926,0.6859503984451294,0.9908695220947266
11,0.6551418304443359,1.1411467790603638,0.71074378490448,0.9117658734321594
12,0.6755319237709045,1.0883854627609253,0.8016529083251953,0.8155439496040344
13,0.734929084777832,0.9237133264541626,0.7768595218658447,0.7497490644454956
14,0.7127659320831299,0.9360424280166626,0.78925621509552,0.7404816150665283
